node_id,timestamp,x,y
1,2020-06-26 10:22:28.645,1476,-105
1,2020-06-26 10:22:38.645,1486,-106
1,2020-06-26 10:22:48.645,1476,-117
1,2020-06-26 10:22:58.645,1480,-117
1,2020-06-26 10:23:07.645,1480,-119
1,2020-06-26 10:23:17.645,1481,-104
1,2020-06-26 10:23:27.645,1487,-97
1,2020-06-26 10:23:36.645,1481,-110
1,2020-06-26 10:23:46.645,1465,-135
1,2020-06-26 10:23:56.645,1495,-77
1,2020-06-26 10:24:06.645,1518,-93
1,2020-06-26 10:24:16.645,1476,-109
1,2020-06-26 10:24:25.645,1475,-105
1,2020-06-26 10:24:35.645,1481,-104
1,2020-06-26 10:24:44.645,1480,-112
1,2020-06-26 10:24:54.645,1478,-107
1,2020-06-26 10:25:03.645,1472,-115
1,2020-06-26 10:25:13.645,1475,-103
1,2020-06-26 10:25:23.645,1475,-126
1,2020-06-26 10:25:33.645,1477,-123
1,2020-06-26 10:25:42.645,1472,-101
1,2020-06-26 10:25:52.645,1484,-109
1,2020-06-26 10:26:01.645,1472,-109
1,2020-06-26 10:26:11.645,1484,-105
1,2020-06-26 10:26:20.644,1478,-125
1,2020-06-26 10:26:30.645,1470,-108
1,2020-06-26 10:26:40.645,1479,-117
1,2020-06-26 10:26:49.645,1484,-126
1,2020-06-26 10:26:58.645,1476,-103
1,2020-06-26 10:27:08.645,1472,-108
1,2020-06-26 10:27:18.645,1480,-105
1,2020-06-26 10:27:27.645,1478,-122
1,2020-06-26 10:27:37.645,1477,-125
1,2020-06-26 10:27:46.645,1478,-106
1,2020-06-26 10:27:56.645,1484,-106
1,2020-06-26 10:28:06.645,1464,-113
1,2020-06-26 10:28:16.645,1471,-116
1,2020-06-26 10:28:25.645,1454,-99
1,2020-06-26 10:28:35.645,1487,-102
1,2020-06-26 10:28:45.645,1472,-121
1,2020-06-26 10:28:54.645,1484,-116
1,2020-06-26 10:29:04.645,1466,-105
1,2020-06-26 10:29:23.645,1482,-106
1,2020-06-26 10:29:33.645,1480,-114
1,2020-06-26 10:29:42.645,1471,-116
1,2020-06-26 10:29:52.645,1475,-100
1,2020-06-26 10:30:01.645,1471,-107
1,2020-06-26 10:30:11.645,1486,-116
1,2020-06-26 10:30:21.645,1480,-121
1,2020-06-26 10:30:30.645,1470,-109
1,2020-06-26 10:30:40.645,1467,-113
1,2020-06-26 10:30:49.645,1490,-108
1,2020-06-26 10:30:59.645,1474,-102
1,2020-06-26 10:31:09.645,1466,-124
1,2020-06-26 10:31:18.645,1480,-121
1,2020-06-26 10:31:28.645,1479,-107
1,2020-06-26 10:31:38.645,1479,-105
1,2020-06-26 10:31:48.645,1473,-131
1,2020-06-26 10:31:57.645,1485,-109
1,2020-06-26 10:32:07.645,1480,-114
1,2020-06-26 10:32:16.645,1502,-104
1,2020-06-26 10:32:26.645,1485,-106
1,2020-06-26 10:32:36.645,1480,-107
1,2020-06-26 10:32:45.645,1485,-115
1,2020-06-26 10:32:55.645,1479,-98
1,2020-06-26 10:33:04.645,1474,-117
1,2020-06-26 10:33:14.645,1473,-118
1,2020-06-26 10:33:33.645,1475,-126
1,2020-06-26 10:33:43.645,1474,-120
1,2020-06-26 10:34:03.645,1472,-117
1,2020-06-26 10:34:12.645,1487,-97
1,2020-06-26 10:34:22.645,1481,-117
1,2020-06-26 10:34:32.645,1481,-116
1,2020-06-26 10:34:42.645,1487,-107
1,2020-06-26 10:35:01.645,1479,-113
1,2020-06-26 10:35:11.645,1485,-116
1,2020-06-26 10:35:20.645,1479,-111
1,2020-06-26 10:35:30.645,1483,-113
1,2020-06-26 10:35:49.645,1474,-123
1,2020-06-26 10:36:09.645,1468,-108
1,2020-06-26 10:36:18.645,1463,-131
1,2020-06-26 10:36:28.645,1480,-108
1,2020-06-26 10:36:37.644,1473,-114
1,2020-06-26 10:36:47.645,1524,-58
1,2020-06-26 10:36:57.645,1480,-117
1,2020-06-26 10:37:06.645,1466,-117
1,2020-06-26 10:37:16.645,1470,-114
1,2020-06-26 10:37:26.645,1473,-125
1,2020-06-26 10:37:35.645,1518,-80
1,2020-06-26 10:37:45.645,1484,-109
1,2020-06-26 10:38:04.645,1476,-118
1,2020-06-26 10:38:14.645,1468,-99
1,2020-06-26 10:38:24.645,1483,-106
1,2020-06-26 10:38:34.645,1473,-119
1,2020-06-26 10:38:43.645,1468,-115
1,2020-06-26 10:38:53.645,1483,-111
1,2020-06-26 10:39:03.645,1467,-124
1,2020-06-26 10:39:12.645,1487,-102
1,2020-06-26 10:39:22.645,1482,-104
1,2020-06-26 10:39:32.645,1481,-109
1,2020-06-26 10:39:51.645,1488,-122
1,2020-06-26 10:40:01.646,1467,-103
1,2020-06-26 10:40:10.645,1474,-111
1,2020-06-26 10:40:39.645,1476,-115
1,2020-06-26 10:40:48.645,1479,-88
1,2020-06-26 10:40:58.645,1474,-121
1,2020-06-26 10:41:08.645,1477,-125
1,2020-06-26 10:41:17.645,1475,-116
1,2020-06-26 10:41:27.645,1482,-121
1,2020-06-26 10:41:37.645,1498,-98
1,2020-06-26 10:41:56.645,1464,-118
1,2020-06-26 10:42:06.645,1487,-121
1,2020-06-26 10:42:16.645,1478,-134
1,2020-06-26 10:42:25.645,1485,-118
1,2020-06-26 10:42:35.645,1468,-119
1,2020-06-26 10:42:44.645,1487,-141
1,2020-06-26 10:42:54.645,1485,-90
1,2020-06-26 10:43:04.645,1477,-119
1,2020-06-26 10:43:13.645,1482,-106
1,2020-06-26 10:43:32.645,1463,-117
1,2020-06-26 10:43:42.645,1473,-100
1,2020-06-26 10:44:01.645,1485,-102
1,2020-06-26 10:44:11.645,1473,-111
1,2020-06-26 10:44:21.645,1506,-95
1,2020-06-26 10:44:40.645,1497,-114
1,2020-06-26 10:44:59.645,1465,-131
1,2020-06-26 10:45:09.645,1483,-101
1,2020-06-26 10:45:18.645,1481,-118
1,2020-06-26 10:45:27.645,1532,-92
1,2020-06-26 10:45:37.645,1495,-115
1,2020-06-26 10:45:47.645,1483,-100
1,2020-06-26 10:45:57.645,1481,-105
1,2020-06-26 10:46:07.645,1479,-121
1,2020-06-26 10:46:16.645,1484,-120
1,2020-06-26 10:46:26.645,1483,-108
1,2020-06-26 10:46:35.645,1477,-124
1,2020-06-26 10:46:45.645,1482,-101
1,2020-06-26 10:46:54.645,1469,-116
1,2020-06-26 10:47:13.645,1478,-120
1,2020-06-26 10:47:23.645,1469,-107
1,2020-06-26 10:47:33.645,1466,-106
1,2020-06-26 10:47:42.645,1469,-118
1,2020-06-26 10:48:01.645,1474,-96
1,2020-06-26 10:48:11.645,1485,-128
1,2020-06-26 10:48:30.645,1474,-106
1,2020-06-26 10:48:40.645,1471,-103
1,2020-06-26 10:48:49.645,1462,-109
1,2020-06-26 10:48:59.645,1485,-111
1,2020-06-26 10:49:09.645,1466,-120
1,2020-06-26 10:49:18.645,1476,-110
1,2020-06-26 10:49:27.645,1473,-107
1,2020-06-26 10:49:37.645,1476,-109
1,2020-06-26 10:49:56.645,1471,-114
1,2020-06-26 10:50:06.645,1482,-110
1,2020-06-26 10:50:15.645,1479,-104
1,2020-06-26 10:50:25.645,1479,-117
1,2020-06-26 10:50:34.645,1467,-129
1,2020-06-26 10:50:44.645,1474,-124
1,2020-06-26 10:50:54.645,1484,-108
1,2020-06-26 10:51:04.645,1474,-106
1,2020-06-26 10:51:13.645,1529,-75
1,2020-06-26 10:51:23.645,1497,-98
1,2020-06-26 10:51:32.645,1482,-111
1,2020-06-26 10:51:42.645,1499,-104
1,2020-06-26 10:51:51.645,1525,-93
1,2020-06-26 10:52:01.645,1484,-126
1,2020-06-26 10:52:10.645,1488,-138
1,2020-06-26 10:52:20.645,1473,-109
1,2020-06-26 10:52:39.645,1476,-103
1,2020-06-26 10:52:49.645,1476,-108
1,2020-06-26 10:52:58.645,1477,-118
1,2020-06-26 10:53:08.645,1480,-106
1,2020-06-26 10:53:17.645,1483,-97
1,2020-06-26 10:53:27.644,1450,-84
1,2020-06-26 10:53:37.645,1483,-120
1,2020-06-26 10:53:46.645,1491,-101
1,2020-06-26 10:53:56.645,1491,-101
1,2020-06-26 10:54:05.645,1469,-117
1,2020-06-26 10:54:15.645,1477,-103
1,2020-06-26 10:54:25.645,1481,-136
1,2020-06-26 10:54:34.645,1477,-96
1,2020-06-26 10:54:44.645,1485,-98
1,2020-06-26 10:54:53.645,1490,-105
1,2020-06-26 10:55:03.645,1482,-110
1,2020-06-26 10:55:13.645,1483,-108
1,2020-06-26 10:55:22.645,1494,-103
1,2020-06-26 10:55:32.645,1475,-109
1,2020-06-26 10:55:42.645,1477,-114
1,2020-06-26 10:55:52.645,1466,-105
1,2020-06-26 10:56:01.645,1484,-114
1,2020-06-26 10:56:11.645,1479,-111
1,2020-06-26 10:56:21.645,1486,-126
1,2020-06-26 10:56:30.645,1464,-120
1,2020-06-26 10:56:40.645,1476,-112
1,2020-06-26 10:56:49.645,1488,-98
1,2020-06-26 10:56:59.645,1486,-117
1,2020-06-26 10:57:08.645,1477,-108
1,2020-06-26 10:57:18.645,1474,-121
1,2020-06-26 10:57:28.645,1482,-109
1,2020-06-26 10:57:38.645,1486,-100
1,2020-06-26 10:57:48.644,1485,-117
1,2020-06-26 10:58:07.645,1481,-113
1,2020-06-26 10:58:17.645,1471,-116
1,2020-06-26 10:58:27.645,1489,-96
1,2020-06-26 10:58:37.645,1469,-117
1,2020-06-26 10:58:56.645,1481,-105
1,2020-06-26 10:59:05.645,1478,-96
1,2020-06-26 10:59:15.645,1472,-137
1,2020-06-26 10:59:25.645,1490,-96
1,2020-06-26 10:59:34.645,1471,-113
1,2020-06-26 10:59:44.645,1479,-101
1,2020-06-26 10:59:53.645,1472,-135
1,2020-06-26 11:00:03.645,1485,-113
1,2020-06-26 11:00:13.645,1472,-116
1,2020-06-26 11:00:22.645,1488,-105
1,2020-06-26 11:00:32.645,1482,-105
1,2020-06-26 11:00:42.645,1486,-116
1,2020-06-26 11:01:01.645,1482,-121
1,2020-06-26 11:01:11.645,1491,-111
1,2020-06-26 11:01:20.645,1484,-107
1,2020-06-26 11:01:39.645,1470,-116
1,2020-06-26 11:01:49.645,1524,-85
1,2020-06-26 11:01:58.645,1484,-94
1,2020-06-26 11:02:08.645,1483,-111
1,2020-06-26 11:02:17.645,1474,-107
1,2020-06-26 11:02:27.645,1484,-117
1,2020-06-26 11:02:37.645,1477,-104
1,2020-06-26 11:02:47.645,1473,-115
1,2020-06-26 11:02:57.645,1496,-98
1,2020-06-26 11:03:06.645,1494,-99
1,2020-06-26 11:03:16.646,1485,-115
1,2020-06-26 11:03:25.645,1479,-146
1,2020-06-26 11:03:35.645,1482,-117
1,2020-06-26 11:03:45.645,1482,-125
1,2020-06-26 11:03:55.645,1472,-124
1,2020-06-26 11:04:04.645,1476,-105
1,2020-06-26 11:04:14.645,1474,-134
1,2020-06-26 11:04:23.645,1483,-111
1,2020-06-26 11:04:33.645,1487,-110
1,2020-06-26 11:04:43.645,1487,-105
1,2020-06-26 11:04:52.645,1476,-102
1,2020-06-26 11:05:31.645,1471,-112
1,2020-06-26 11:05:40.645,1486,-100
1,2020-06-26 11:05:50.645,1469,-122
1,2020-06-26 11:05:59.645,1477,-125
1,2020-06-26 11:06:09.645,1458,-85
1,2020-06-26 11:06:28.645,1481,-105
1,2020-06-26 11:06:38.645,1484,-103
1,2020-06-26 11:06:57.645,1470,-134
1,2020-06-26 11:07:07.645,1473,-113
1,2020-06-26 11:07:17.645,1487,-100
1,2020-06-26 11:07:26.645,1474,-127
1,2020-06-26 11:07:36.645,1479,-108
1,2020-06-26 11:08:05.645,1485,-117
1,2020-06-26 11:08:15.645,1473,-128
1,2020-06-26 11:08:25.645,1439,-76
1,2020-06-26 11:08:44.645,1488,-106
1,2020-06-26 11:08:54.645,1517,-77
1,2020-06-26 11:09:03.645,1474,-119
1,2020-06-26 11:09:13.645,1484,-103
1,2020-06-26 11:09:23.645,1477,-117
1,2020-06-26 11:09:33.645,1467,-110
1,2020-06-26 11:09:42.645,1494,-115
1,2020-06-26 11:09:52.645,1467,-115
1,2020-06-26 11:10:01.645,1475,-115
1,2020-06-26 11:10:11.645,1506,-115
1,2020-06-26 11:10:40.645,1480,-120
1,2020-06-26 11:10:49.645,1479,-108
1,2020-06-26 11:10:59.645,1484,-126
1,2020-06-26 11:11:09.645,1477,-111
1,2020-06-26 11:11:18.646,1484,-105
1,2020-06-26 11:11:37.645,1476,-99
1,2020-06-26 11:11:47.645,1481,-117
1,2020-06-26 11:11:57.645,1484,-108
1,2020-06-26 11:12:06.645,1483,-107
1,2020-06-26 11:12:25.645,1473,-129
1,2020-06-26 11:12:35.645,1465,-123
1,2020-06-26 11:12:45.645,1476,-122
1,2020-06-26 11:12:54.645,1487,-107
1,2020-06-26 11:13:04.645,1462,-125
1,2020-06-26 11:13:13.645,1478,-97
